GlobalId,type,Name,Description,Tag,PredefinedType,Pset_BuildingElementProxyCommon,Pset_EnvironmentalImpactIndicators,Material,OverallHeight,OverallWidth,OperationType,UserDefinedOperationType,Pset_DoorCommon,Pset_ReinforcementBarPitchOfSlab,Pset_SlabCommon,Pset_ReinforcementBarPitchOfWall,Pset_WallCommon,PartitioningType,UserDefinedPartitioningType,Pset_WindowCommon,LongName,CompositionType,Elevation,Pset_BuildingStoreyCommon,Pset_SpaceCommon,ElevationOfRefHeight,ElevationOfTerrain,BuildingAddress,Pset_BuildingCommon,Pset_BuildingSystemCommon,RefLatitude,RefLongitude,RefElevation,LandTitleNumber,SiteAddress,Pset_SiteCommon,has_geometry
0N306lLjTEow86rs_mTf9V,IfcBuildingElementProxy,M_Muntin Pattern_2x2:M_Muntin Pattern_2x2:1659063,,1659063,NOTDEFINED,"{""IsExternal"": false, ""Reference"": ""M_Muntin Pattern_2x2""}","{""Reference"": ""M_Muntin Pattern_2x2""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTf9G,IfcBuildingElementProxy,M_Trim-Window-Exterior-Flat:with Sill:1659064,,1659064,NOTDEFINED,"{""IsExternal"": false, ""Reference"": ""with Sill""}","{""Reference"": ""with Sill""}",Clad - White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTf9H,IfcBuildingElementProxy,M_Trim-Window-Interior-Flat:Picture Frame:1659065,,1659065,NOTDEFINED,"{""IsExternal"": false, ""Reference"": ""Picture Frame""}","{""Reference"": ""Picture Frame""}",Wood - Stained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTfAt,IfcDoor,M_Door-Passage-Single-Vision_Lite:750 x 2000mm:1658975,,1658975,DOOR,,"{""Reference"": ""750 x 2000mm""}",,2100.0,850.0,SINGLE_SWING_RIGHT,,"{""IsExternal"": true, ""Reference"": ""750 x 2000mm""}",,,,,,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTfEb,IfcSlab,Floor:Generic 300mm:1659213,,1659213,FLOOR,,"{""Reference"": ""Generic 300mm""}",Floor:Generic 300mm,,,,,,"{""Reference"": ""Generic 300mm""}","{""IsExternal"": false, ""LoadBearing"": false, ""PitchAngle"": 0.0, ""Reference"": ""Generic 300mm""}",,,,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTer6,IfcWall,Basic Wall:Generic - 200mm:1658798,,1658798,NOTDEFINED,,"{""Reference"": ""Generic - 200mm""}",,,,,,,,,"{""Reference"": ""Generic - 200mm""}","{""ExtendToStructure"": false, ""IsExternal"": true, ""LoadBearing"": false, ""Reference"": ""Generic - 200mm""}",,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTeqH,IfcWall,Basic Wall:Generic - 200mm:1658873,,1658873,NOTDEFINED,,"{""Reference"": ""Generic - 200mm""}",,,,,,,,,"{""Reference"": ""Generic - 200mm""}","{""ExtendToStructure"": false, ""IsExternal"": true, ""LoadBearing"": false, ""Reference"": ""Generic - 200mm""}",,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTfBC,IfcWall,Basic Wall:Generic - 200mm:1658916,,1658916,NOTDEFINED,,"{""Reference"": ""Generic - 200mm""}",,,,,,,,,"{""Reference"": ""Generic - 200mm""}","{""ExtendToStructure"": false, ""IsExternal"": true, ""LoadBearing"": false, ""Reference"": ""Generic - 200mm""}",,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTfAZ,IfcWall,Basic Wall:Generic - 200mm:1658955,,1658955,NOTDEFINED,,"{""Reference"": ""Generic - 200mm""}",,,,,,,,,"{""Reference"": ""Generic - 200mm""}","{""ExtendToStructure"": false, ""IsExternal"": true, ""LoadBearing"": false, ""Reference"": ""Generic - 200mm""}",,,,,,,,,,,,,,,,,,,,True
0N306lLjTEow86rs_mTf9S,IfcWindow,M_Window-Fixed:600 x 900mm:1659060,,1659060,WINDOW,,"{""Reference"": ""600 x 900mm""}",,900.0,600.0,,,,,,,,NOTDEFINED,,"{""FireRating"": ""0.5h"", ""IsExternal"": true, ""Reference"": ""600 x 900mm""}",,,,,,,,,,,,,,,,,True
