Relating_Object_Type,Relating_Object_GUID,Related_Object_Type,Related_Object_GUID,Relationship_Type
IfcProject,1RJW9X$0v41w0khmPgA1_c,IfcSite,1RJW9X$0v41w0khmPgA1_a,IfcRelAggregates
IfcSite,1RJW9X$0v41w0khmPgA1_a,IfcBuilding,1RJW9X$0v41w0khmPgA1_d,IfcRelAggregates
IfcBuilding,1RJW9X$0v41w0khmPgA1_d,IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcRelAggregates
IfcBuilding,1RJW9X$0v41w0khmPgA1_d,IfcBuildingStorey,1ZGO8hrFCHqw0v0026FpFv,IfcRelAggregates
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcWall,0N306lLjTEow86rs_mTer6,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcWall,0N306lLjTEow86rs_mTeqH,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcWall,0N306lLjTEow86rs_mTfBC,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcWall,0N306lLjTEow86rs_mTfAZ,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcDoor,0N306lLjTEow86rs_mTfAt,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcWindow,0N306lLjTEow86rs_mTf9S,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcBuildingElementProxy,0N306lLjTEow86rs_mTf9V,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcBuildingElementProxy,0N306lLjTEow86rs_mTf9G,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcBuildingElementProxy,0N306lLjTEow86rs_mTf9H,IfcRelContainedInSpatialStructure
IfcBuildingStorey,2JF4e6axWHqu3u0C1FZlmi,IfcSlab,0N306lLjTEow86rs_mTfEb,IfcRelContainedInSpatialStructure
