GlobalId,type,Name,Description,Tag,PredefinedType,Default,Pset_BeamCommon,Qto_BeamBaseQuantities,Pset_BuildingElementProxyCommon,Material,Pset_ColumnCommon,Qto_ColumnBaseQuantities,Pset_SlabCommon,Qto_SlabBaseQuantities,AssemblyPlace,Pset_ElementAssemblyCommon,UAxes,VAxes,WAxes,LongName,CompositionType,ElevationOfRefHeight,ElevationOfTerrain,BuildingAddress,Elevation,RefLatitude,RefLongitude,RefElevation,LandTitleNumber,SiteAddress,has_geometry
1dBCUHoePFzhO2FVr9zhkd,IfcBeam,BEAM,IPE270,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 4980.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 5.18, ""GrossSurfaceArea"": 5.18, ""NetSurfaceArea"": 5.32, ""GrossVolume"": 0.023, ""NetVolume"": 0.022, ""GrossWeight"": 183.0, ""NetWeight"": 175.0}",,,,,,,,,,,,,,,,,,,,,,,True
1ZhiEwHJDBz8kqdUEPO55L,IfcBeam,BEAM,IPE270,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 5690.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 5.92, ""GrossSurfaceArea"": 5.92, ""NetSurfaceArea"": 6.08, ""GrossVolume"": 0.026, ""NetVolume"": 0.025, ""GrossWeight"": 209.0, ""NetWeight"": 200.0}",,,,,,,,,,,,,,,,,,,,,,,True
3HAm8efUb2lADWKx_E_FMm,IfcBeam,BEAM,IPE270,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 6460.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 6.72, ""GrossSurfaceArea"": 6.72, ""NetSurfaceArea"": 6.89, ""GrossVolume"": 0.03, ""NetVolume"": 0.028, ""GrossWeight"": 237.0, ""NetWeight"": 227.0}",,,,,,,,,,,,,,,,,,,,,,,True
2Sgq$PoNfFZ840khyuEeBm,IfcBeam,BEAM,IPE500,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 7410.0, ""CrossSectionArea"": 0.012, ""OuterSurfaceArea"": 12.9, ""GrossSurfaceArea"": 12.9, ""NetSurfaceArea"": 13.2, ""GrossVolume"": 0.086, ""NetVolume"": 0.083, ""GrossWeight"": 685.0, ""NetWeight"": 662.0}",,,,,,,,,,,,,,,,,,,,,,,True
2S11YD2ETB1RdrXCKUaLfu,IfcBeam,BEAM,IPE500,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 9430.0, ""CrossSectionArea"": 0.012, ""OuterSurfaceArea"": 16.5, ""GrossSurfaceArea"": 16.5, ""NetSurfaceArea"": 16.8, ""GrossVolume"": 0.109, ""NetVolume"": 0.105, ""GrossWeight"": 872.0, ""NetWeight"": 843.0}",,,,,,,,,,,,,,,,,,,,,,,True
1cgod4F4n1Sg_8j0K3xg6U,IfcBeam,BEAM,IPE500,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 9430.0, ""CrossSectionArea"": 0.012, ""OuterSurfaceArea"": 16.5, ""GrossSurfaceArea"": 16.5, ""NetSurfaceArea"": 16.8, ""GrossVolume"": 0.109, ""NetVolume"": 0.105, ""GrossWeight"": 872.0, ""NetWeight"": 843.0}",,,,,,,,,,,,,,,,,,,,,,,True
1EMrmsrinFyfEVHi3WesIN,IfcBeam,BEAM,IPE300,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 6660.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 7.73, ""GrossSurfaceArea"": 7.73, ""NetSurfaceArea"": 7.91, ""GrossVolume"": 0.036, ""NetVolume"": 0.035, ""GrossWeight"": 287.0, ""NetWeight"": 277.0}",,,,,,,,,,,,,,,,,,,,,,,True
1d$581oOL1LvwY5GVe$T3t,IfcBeam,BEAM,IPE300,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 5860.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 6.79, ""GrossSurfaceArea"": 6.79, ""NetSurfaceArea"": 6.95, ""GrossVolume"": 0.032, ""NetVolume"": 0.03, ""GrossWeight"": 252.0, ""NetWeight"": 243.0}",,,,,,,,,,,,,,,,,,,,,,,True
2BzvvdLQbD69yYYGS9IM21,IfcBeam,BEAM,IPE300,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 5860.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 6.79, ""GrossSurfaceArea"": 6.79, ""NetSurfaceArea"": 6.95, ""GrossVolume"": 0.032, ""NetVolume"": 0.03, ""GrossWeight"": 252.0, ""NetWeight"": 243.0}",,,,,,,,,,,,,,,,,,,,,,,True
2zUpxbLufClf_twTlowB9A,IfcBeam,BEAM,IPE300,S235JR,BEAM,"{""ACN"": ""None"", ""MATERIAL"": ""S235JR"", ""NAME"": ""BEAM"", ""comment"": ""None""}","{""IsExternal"": false, ""LoadBearing"": true, ""Roll"": 0.0, ""Slope"": 0.0, ""Status"": ""NEW""}","{""Length"": 6660.0, ""CrossSectionArea"": 0.005, ""OuterSurfaceArea"": 7.73, ""GrossSurfaceArea"": 7.73, ""NetSurfaceArea"": 7.91, ""GrossVolume"": 0.036, ""NetVolume"": 0.035, ""GrossWeight"": 287.0, ""NetWeight"": 277.0}",,,,,,,,,,,,,,,,,,,,,,,True
