GlobalId,ifc_type,method,definition_id,instance_params
1dBCUHoePFzhO2FVr9zhkd,IfcBeam,extrusion,1.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
1ZhiEwHJDBz8kqdUEPO55L,IfcBeam,extrusion,2.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
3HAm8efUb2lADWKx_E_FMm,IfcBeam,extrusion,3.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
2Sgq$PoNfFZ840khyuEeBm,IfcBeam,extrusion,4.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
2S11YD2ETB1RdrXCKUaLfu,IfcBeam,extrusion,5.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
1cgod4F4n1Sg_8j0K3xg6U,IfcBeam,extrusion,5.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
1EMrmsrinFyfEVHi3WesIN,IfcBeam,extrusion,6.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
1d$581oOL1LvwY5GVe$T3t,IfcBeam,extrusion,7.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
2BzvvdLQbD69yYYGS9IM21,IfcBeam,extrusion,8.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
2zUpxbLufClf_twTlowB9A,IfcBeam,extrusion,6.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
3yK7TeThX5X8CsOFZr7rZC,IfcBeam,extrusion,9.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
3tfSzRNtj0d8GICS2zgyt5,IfcBeam,extrusion,9.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
08iWwyBgP0DObu2oWq8Byn,IfcBeam,extrusion,9.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
243H5L0sHD6QfIcpEPQR$1,IfcBeam,extrusion,9.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
2Fdf7QQe5E6h6FsqsCRpaf,IfcBeam,extrusion,9.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
1hPhB98xT5wgebNTVI7l0C,IfcBeam,extrusion,6.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
1BMOkIEM52XQQUq_8skjsr,IfcBeam,extrusion,10.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
3lByObu6z06PL7dtDSR8pQ,IfcBeam,extrusion,11.0,"{""position"": {""type"": ""IfcAxis2Placement3D"", ""location"": [0.0, 0.0, 0.0], ""axis"": [-1.0, 0.0, 0.0], ""ref_direction"": [0.0, 0.0, 1.0]}}"
