definition_id,method,representation_type,geometry_tree,instance_count
1,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE270"", ""profile_type"": ""AREA"", ""overall_width"": 135.0, ""overall_depth"": 270.0, ""web_thickness"": 6.6, ""flange_thickness"": 10.2, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 4980.0, ""direction"": [0.0, 0.0, -1.0]}",5
2,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE270"", ""profile_type"": ""AREA"", ""overall_width"": 135.0, ""overall_depth"": 270.0, ""web_thickness"": 6.6, ""flange_thickness"": 10.2, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 5690.0, ""direction"": [0.0, 0.0, -1.0]}",4
3,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE270"", ""profile_type"": ""AREA"", ""overall_width"": 135.0, ""overall_depth"": 270.0, ""web_thickness"": 6.6, ""flange_thickness"": 10.2, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 6455.0, ""direction"": [0.0, 0.0, -1.0]}",3
4,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE500"", ""profile_type"": ""AREA"", ""overall_width"": 200.0, ""overall_depth"": 500.0, ""web_thickness"": 10.2, ""flange_thickness"": 16.0, ""fillet_radius"": 21.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 7409.9998, ""direction"": [0.0, 0.0, -1.0]}",1
5,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE500"", ""profile_type"": ""AREA"", ""overall_width"": 200.0, ""overall_depth"": 500.0, ""web_thickness"": 10.2, ""flange_thickness"": 16.0, ""fillet_radius"": 21.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 9434.9998, ""direction"": [0.0, 0.0, -1.0]}",3
6,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 6662.5, ""direction"": [0.0, 0.0, -1.0]}",10
7,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 5855.0001, ""direction"": [0.0, 0.0, -1.0]}",3
8,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 5855.0, ""direction"": [0.0, 0.0, -1.0]}",7
9,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 5877.5, ""direction"": [0.0, 0.0, -1.0]}",14
10,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 6000.0, ""direction"": [0.0, 0.0, -1.0]}",8
11,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 4980.0, ""direction"": [0.0, 0.0, -1.0]}",8
12,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE300"", ""profile_type"": ""AREA"", ""overall_width"": 150.0, ""overall_depth"": 300.0, ""web_thickness"": 7.1, ""flange_thickness"": 10.7, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 6455.0, ""direction"": [0.0, 0.0, -1.0]}",6
13,extrusion,SolidModel,"{""type"": ""IfcExtrudedAreaSolid"", ""profile"": {""type"": ""IfcIShapeProfileDef"", ""profile_name"": ""IPE270"", ""profile_type"": ""AREA"", ""overall_width"": 135.0, ""overall_depth"": 270.0, ""web_thickness"": 6.6, ""flange_thickness"": 10.2, ""fillet_radius"": 15.0, ""position"": {""type"": ""IfcAxis2Placement2D"", ""location"": [0.0, 0.0], ""ref_direction"": [1.0, 0.0]}}, ""depth"": 6662.5, ""direction"": [0.0, 0.0, -1.0]}",4
