Relating_Object_Type,Relating_Object_GUID,Related_Object_Type,Related_Object_GUID,Relationship_Type
IfcProject,2vfh4zCQL05vfCDihadyyR,IfcSite,1aa5aUUKX2UA1YrhamYKGr,IfcRelAggregates
IfcSite,1aa5aUUKX2UA1YrhamYKGr,IfcBuilding,2TOvD$ZIb8RQcaDjYoRxD_,IfcRelAggregates
IfcElementAssembly,1BEBbZr8rFKfD7BRvk5k5W,IfcBuildingElementProxy,3sLVeHKg90cB9yogR5Rgms,IfcRelAggregates
IfcElementAssembly,2485t0tnnFk8VBxshABsoN,IfcBuildingElementProxy,0MreAMyD13nvRLY_1yScTg,IfcRelAggregates
IfcElementAssembly,0IWa_v4MjCDvgr7Wh2$4uz,IfcBuildingElementProxy,16YFN6XcrDkvrQxYM7MwG9,IfcRelAggregates
IfcElementAssembly,26AA6TO$LF7ho_UEcXGnkY,IfcBuildingElementProxy,04P5uY7RD3X8CJ76pLThLr,IfcRelAggregates
IfcElementAssembly,2rP$bnUAX4IQUphBqwfx2R,IfcBuildingElementProxy,2CssxELaz4_AShqJAvgV3S,IfcRelAggregates
IfcElementAssembly,2xRvfsgyzC$g3$$FAiT0YT,IfcBuildingElementProxy,0oTXQkzyL0yhALEsKJMVQh,IfcRelAggregates
IfcElementAssembly,1cLHZ27z52DfwL22_KDgdU,IfcBuildingElementProxy,1LMLxkx1T76uJZAFoiLm57,IfcRelAggregates
IfcElementAssembly,0vTj3xyBjDJhbKX3A0vJLz,IfcBuildingElementProxy,0ZRKK1lf5DmBwhImJ_G6y0,IfcRelAggregates
IfcElementAssembly,2o6VxxuOT4GAJf6EbwgKE2,IfcBuildingElementProxy,2_Hxnl9d10oB9A5vnqUCPC,IfcRelAggregates
IfcElementAssembly,2GLFCA7RL2cg4zjOTj3tW_,IfcBuildingElementProxy,0xwh0fvzD3yu$qhpLZE8aE,IfcRelAggregates
IfcElementAssembly,245RmERvnEPPQeXaYS8j7f,IfcBuildingElementProxy,2WwuhjVk1FigWzD60qGa28,IfcRelAggregates
IfcElementAssembly,0YYHvqh9rCC8$cfgBktOco,IfcBuildingElementProxy,0aICZvdc14iBjPls3_S$gp,IfcRelAggregates
IfcElementAssembly,2Jrrv4qMv1dgmt27fQ535v,IfcBuildingElementProxy,3C0wTz$Vz9q8_BaAdRxedN,IfcRelAggregates
IfcElementAssembly,0hagu1ROz7sgAx7lsZHry1,IfcBuildingElementProxy,2amQmvBZb6kB9HlD6C0d_l,IfcRelAggregates
IfcElementAssembly,0dBfEPpvr01QB2k5sVxQpX,IfcBuildingElementProxy,1EyTgI9$bBu8LYfdWLHc64,IfcRelAggregates
IfcElementAssembly,3dpWsiWZ9BDh6hloLAq_YY,IfcBuildingElementProxy,1mqjWvhun4KAbqI1HsJvY3,IfcRelAggregates
IfcElementAssembly,3AvMCM671ExAbXGxvyhTZx,IfcBuildingElementProxy,38GzYOznLAHRaUXCatD3LQ,IfcRelAggregates
IfcElementAssembly,0OjSOObwb08ABG5PbOBAAG,IfcBuildingElementProxy,0IDmXSKWzDUeKExo7TVJnK,IfcRelAggregates
IfcElementAssembly,1hIQ1KUrbCXOlZCXtFFOXH,IfcBuildingElementProxy,2tGMCXO1TEavvpSYBR24sh,IfcRelAggregates
IfcElementAssembly,3Kt_uJlMz0fBN_zj952gjP,IfcBuildingElementProxy,04r9SW6zvD7QrpKdxhqUiW,IfcRelAggregates
IfcElementAssembly,1BeCPzn5bE$OxktgIjG8FM,IfcBuildingElementProxy,3vAewvFdT06fMKaqIUwdN9,IfcRelAggregates
IfcElementAssembly,3fqMfyCf90FPDvIM8jp1u4,IfcBuildingElementProxy,3yNUmBK8jDoAJ9o5qcxR0y,IfcRelAggregates
IfcElementAssembly,31_q6INUL6Q8Ww63XjsFPu,IfcBuildingElementProxy,0s8re9PRnAs82W9BUqJAkG,IfcRelAggregates
IfcElementAssembly,3oMy4Jt$500PiLRxs0U8Pn,IfcBuildingElementProxy,2Fb_NrOlr5khgXbYHtYdhx,IfcRelAggregates
IfcElementAssembly,0KTdd1MIv0FhFftHqNYBCB,IfcBuildingElementProxy,1tm0aF1RbF2QT0qOSLdcof,IfcRelAggregates
IfcElementAssembly,1q$gt4pELAQAtWlaaaSsax,IfcBuildingElementProxy,0qfqWrtx5F$9Gw5b288sV3,IfcRelAggregates
IfcElementAssembly,2oJWLXeDHFDfAT4A5SCWRa,IfcBuildingElementProxy,2hoq8jpsD3pRRZ6AZrJ6KK,IfcRelAggregates
IfcElementAssembly,2tkjGRBMv6hekYJxy$MFSr,IfcBuildingElementProxy,2f5A0SzW11ugaPKJrexI9Y,IfcRelAggregates
IfcElementAssembly,0i_EIPL2X3zBoa2OUeNN7$,IfcSlab,1YkYc7JX9EA8uuXe3BN1vK,IfcRelAggregates
IfcElementAssembly,2zATC7OZz8PgXW5E2cXgSi,IfcSlab,0$U8Gub4T1YuJDpclCz_Xp,IfcRelAggregates
IfcElementAssembly,39C2aGBd9EZ879eCtOHDKK,IfcBeam,1dBCUHoePFzhO2FVr9zhkd,IfcRelAggregates
IfcElementAssembly,26zvXBpDz1kgVtV3hSd3xD,IfcBeam,1ZhiEwHJDBz8kqdUEPO55L,IfcRelAggregates
IfcElementAssembly,1hbTJgfIH5jQDmn6c5sBNM,IfcBeam,3HAm8efUb2lADWKx_E_FMm,IfcRelAggregates
IfcElementAssembly,3TA7lF99LA_PgQruL$IB4d,IfcBeam,2Sgq$PoNfFZ840khyuEeBm,IfcRelAggregates
IfcElementAssembly,3PYQmBJOPDnO8FIwAn_m7k,IfcBeam,2S11YD2ETB1RdrXCKUaLfu,IfcRelAggregates
IfcElementAssembly,27QLzrRRjAPO5OWEXT2Rxo,IfcBeam,1cgod4F4n1Sg_8j0K3xg6U,IfcRelAggregates
IfcElementAssembly,2yMIEmuoXEmuKtmh91o0C8,IfcSlab,1ewKfv5AvD48pg6Qp9FC$1,IfcRelAggregates
IfcElementAssembly,08DyB0rpjAcR4tCCBhad3Z,IfcSlab,238MILRpHErfa81rbxXT2$,IfcRelAggregates
IfcElementAssembly,2C$VWuhzP5HeIFKvjv3bGi,IfcSlab,1ZTAm9i2z9nPG_ICIXbM$l,IfcRelAggregates
IfcElementAssembly,0aZV9f0Xr3lPYn1EwP3YM6,IfcSlab,2rC9FKcDT0IRXlUKyKtLdg,IfcRelAggregates
IfcElementAssembly,2XLwUw_ab6ie8MZ1Uj3Kjg,IfcSlab,10$nmMwbT0yRmTWJccedBL,IfcRelAggregates
IfcElementAssembly,1XTKX_wDrAgAE7l622LKIH,IfcSlab,1zTxSyTeD5VuerOqljM3wt,IfcRelAggregates
IfcElementAssembly,3Q5jAbZSb9FOss9G$aExOS,IfcSlab,3QJF_H70P88O8YBdxyUzPI,IfcRelAggregates
IfcElementAssembly,3fQNJR53n9gQYynhVjqnow,IfcSlab,1DfXDpPrP0KfauGHOX$K47,IfcRelAggregates
IfcElementAssembly,0P5nNalnXCU9dZqipR47fA,IfcSlab,1R8dG1E$P59Qh4Q$_ZMSyn,IfcRelAggregates
IfcElementAssembly,17L8tPC$10791ocpW6y1G2,IfcSlab,0GoBnq2o95x8azDddFqhaE,IfcRelAggregates
IfcElementAssembly,13EldJjE5CtQqaXqT5D6lx,IfcSlab,3dPWZ6lL9E9ex1H21y6gbe,IfcRelAggregates
IfcElementAssembly,2gRzVhSkX3sOJO7iAmID9W,IfcSlab,2R_aeUvw9A8hJuQuIG2Roi,IfcRelAggregates
IfcElementAssembly,3riZYjguf3vQ60PxRJWbgV,IfcSlab,2Vi1ZeDd10aOPM16SaNzus,IfcRelAggregates
IfcElementAssembly,1Xiq5ZlhHAN9vzBsLwTpWN,IfcSlab,3kWJTI9uzCbuojuWrMTwcs,IfcRelAggregates
IfcElementAssembly,0huRhsVhLCQPLOtKUBRl0d,IfcSlab,0RQEPxisb9Ux7l23RQaXOk,IfcRelAggregates
IfcElementAssembly,0lpIJHiJf32xL6ECetWAJn,IfcSlab,0XgdyzTg58Cx2vrKG0NFaK,IfcRelAggregates
IfcElementAssembly,1pKGak0grCShIKJX2Z5TUu,IfcSlab,2V6UvkLJ54T9lURhOAHVzU,IfcRelAggregates
IfcElementAssembly,2FO7THJUz21Q71hru7Wvqe,IfcSlab,1A8Pv_s6j94gA22WKxgjRV,IfcRelAggregates
IfcElementAssembly,39w_GMDVfCbxMr4Yl42u2H,IfcSlab,1gUdGXFovESPqKFP1MvIqa,IfcRelAggregates
IfcElementAssembly,3t0Mcp2m9BgA2CKbBsdcUq,IfcSlab,2L6ZQABFHAeuaAjJKBa6if,IfcRelAggregates
IfcElementAssembly,03wQZTADT59hevuzRSF1cl,IfcSlab,2QZBii66TFaB9xfHu1oigr,IfcRelAggregates
IfcElementAssembly,2$PkXVtSz96vUzgW6aW4j_,IfcSlab,3B2ZVNKDvBdP_bxf9Grn4T,IfcRelAggregates
IfcElementAssembly,00jIMN3OfETxDDwk1hMGMf,IfcSlab,1ZWYP9Gsb7fv8cW8hbYiD0,IfcRelAggregates
IfcElementAssembly,06klmWmLX2j8hO$YAJ9P9s,IfcSlab,3IPShw7y1AIAF5Vr4bCJKH,IfcRelAggregates
IfcElementAssembly,03q0Kq59r3_RxZC2rSyx3H,IfcSlab,1nhgtwOFH588jnDtFe7eqX,IfcRelAggregates
IfcElementAssembly,0Lo5bu1pT2vw95J_lAZaDw,IfcSlab,0YU0IZgxrAmuzihLXZid5H,IfcRelAggregates
IfcElementAssembly,206dugTsPFsQc4YzF0bxU7,IfcSlab,1M7_QehEL1z9Fwc7fpruBM,IfcRelAggregates
IfcElementAssembly,0CsIwmMAHFlvEOi5rq_fmd,IfcSlab,066aMvfiP5vANa0cgRa63l,IfcRelAggregates
IfcElementAssembly,0Ak0NaQhHEogjewypTiXtK,IfcSlab,0i_yXYh_131whHvc_iOGnj,IfcRelAggregates
IfcElementAssembly,0uwja2cRXDLwWLEKf98kId,IfcSlab,3YbikWr8j4g9pFtUSkbqA8,IfcRelAggregates
IfcElementAssembly,2Kf$vz1I5EXh02OAvZrNb7,IfcSlab,3nk3fN4H55pf$G9XK2Usv6,IfcRelAggregates
IfcElementAssembly,2Mzq9qNFDAIxBVTj4bE0OQ,IfcSlab,3UdbKlJpfDmPDxeqqorDDO,IfcRelAggregates
IfcElementAssembly,1b$3x3Y854Uueyzjgx1WbT,IfcSlab,3WDD_dc5L7yOPEZzBJUYYI,IfcRelAggregates
IfcElementAssembly,3iIl0jDWn1IhLdh9YFiAKR,IfcBeam,1EMrmsrinFyfEVHi3WesIN,IfcRelAggregates
IfcElementAssembly,1CixFzTvX2bfTPxkL0DZAV,IfcBeam,1d$581oOL1LvwY5GVe$T3t,IfcRelAggregates
IfcElementAssembly,3lCjRtsWHEsxzAIhgXhhDi,IfcBeam,2BzvvdLQbD69yYYGS9IM21,IfcRelAggregates
IfcElementAssembly,1ZyWtnU5LFyu0NootCyuBf,IfcBeam,2zUpxbLufClf_twTlowB9A,IfcRelAggregates
IfcElementAssembly,0YqaFzTAz2yucZKvrbJ7TY,IfcColumn,3wYZceXQj0MQmjOn3RF15Y,IfcRelAggregates
IfcElementAssembly,0FNBfT5fT5$OC14_WGZ72j,IfcColumn,3TeaMjj598UxbfhWmfHUmV,IfcRelAggregates
IfcElementAssembly,2qw68tK6D8kx5W45it5VfX,IfcColumn,1tEDbaB2v239aGUDbDg2R8,IfcRelAggregates
IfcElementAssembly,1EZEtZ2YfFyxOU0RLN6IW4,IfcColumn,3$AjAI1EnFPwtRGiHdzslZ,IfcRelAggregates
IfcElementAssembly,3y7uLF48n55OJcmnmt0cTQ,IfcBeam,3yK7TeThX5X8CsOFZr7rZC,IfcRelAggregates
IfcElementAssembly,2G64LhO4rD1wPqsAjDkKVJ,IfcBeam,3tfSzRNtj0d8GICS2zgyt5,IfcRelAggregates
IfcElementAssembly,1d3ldCQQP0jBPd8GkT0ynR,IfcBeam,08iWwyBgP0DObu2oWq8Byn,IfcRelAggregates
IfcElementAssembly,0Uq8Y300992QKGXsVSO3HR,IfcBeam,243H5L0sHD6QfIcpEPQR$1,IfcRelAggregates
